link_id,action,next_link_id
0,6,330
0,0,331
1,7,338
2,0,352
3,0,5
3,2,6
4,6,213
4,0,214
5,0,8
5,2,7
6,6,24
6,0,23
8,5,9
9,7,22
9,5,21
10,0,13
10,2,14
11,0,125
12,0,123
13,6,16
13,0,15
14,3,124
14,7,123
15,6,17
16,0,424
16,6,423
17,0,278
17,6,280
18,0,124
19,2,22
19,0,21
20,6,121
21,6,5
21,0,6
22,0,213
22,2,214
23,2,25
24,6,134
24,0,133
25,0,252
25,2,251
26,2,28
26,0,29
27,7,66
27,0,65
28,0,367
28,2,366
29,6,327
29,0,328
30,5,32
30,0,33
31,4,266
31,6,268
31,0,267
32,0,310
32,7,309
33,6,342
33,0,343
34,6,37
34,0,36
35,0,152
35,2,151
36,0,373
36,2,374
37,0,54
37,6,53
38,6,40
39,3,316
39,7,314
39,0,315
40,2,283
41,7,44
41,0,43
42,0,119
43,0,45
44,0,108
44,2,109
45,6,47
45,0,46
46,7,320
46,0,321
47,6,370
47,0,369
48,0,316
48,5,315
49,0,313
50,6,52
50,0,51
51,2,54
51,0,53
52,6,373
52,0,374
53,6,56
53,0,55
54,0,358
54,2,357
55,6,58
55,7,57
56,6,34
56,0,35
57,5,80
57,7,81
58,6,82
58,0,83
59,6,63
59,0,62
60,0,128
61,0,325
62,6,4
62,0,3
63,5,127
63,1,128
64,0,47
64,2,46
65,4,325
65,0,326
66,0,68
66,2,67
68,0,359
68,1,360
69,5,65
70,2,72
71,0,345
71,6,344
72,0,377
73,0,222
74,0,382
74,2,381
75,6,78
75,0,77
76,0,271
76,2,270
77,2,79
78,6,231
79,0,375
79,2,376
80,0,82
80,2,83
81,1,292
82,0,34
82,2,35
83,0,84
83,1,85
84,7,298
84,2,299
85,0,292
86,0,89
86,2,88
87,0,422
88,0,221
88,2,220
89,5,90
90,6,91
90,7,92
91,6,89
91,0,88
92,0,415
93,2,354
94,0,96
94,2,97
95,4,274
95,0,275
96,6,99
96,0,98
97,2,383
97,0,384
98,6,100
98,0,101
99,6,226
99,0,225
100,6,103
101,2,102
102,0,107
103,0,226
103,2,225
104,6,101
105,2,107
106,0,99
106,2,98
107,2,74
107,0,73
108,0,110
108,2,111
109,7,45
