Feature,Importance Score
temp,0.5133667
Highway type: living_street,0.40274715
Number of secondary roads,0.40102196
Highway type: primary,0.33556843
Highway type: secondary,0.32012177
Number of U-turns,0.2925701
Total length,0.25282764
Number of left turns,0.24046326
Number of primary roads,0.22779751
Number of tertiary roads,0.2227211
Highway type: residential,0.21501541
Highway type: unclassified,0.19903946
Highway type: tertiary,0.15816116
Number of right turns,0.15745449
Number of unclassified roads,0.14675903
Number of living_street roads,0.14404869
Edge length,0.12529945
Number of residential roads,0.12404251
Mask feature,0.079138756
Edge ratio,0.071287155
Number of links,0.06559658
