Trajectory ID,Step,Current State,Real Action,Next State,Real Reward,Possible Action 1,Action 1 Next State,Action 1 Reward,Possible Action 2,Action 2 Next State,Action 2 Reward
0,0,0,2,330,1.0307589769363403,2,330,1.0307589769363403,4,331,0.9748026132583618
0,1,330,2,338,0.6814029812812805,2,338,0.6814029812812805
0,2,338,3,154,1.039489507675171,1,153,1.0689165592193604,3,154,1.039489507675171
0,3,154,3,174,1.0520658493041992,1,173,1.065351128578186,3,174,1.0520658493041992
0,4,174,3,364,1.0383002758026123,3,364,1.0383002758026123,5,365,1.0890097618103027
0,5,364,3,178,0.668429970741272,3,178,0.668429970741272
0,6,178,3,180,1.0477259159088135,1,179,1.0558252334594727,3,180,1.0477259159088135
0,7,180,3,337,0.6701186299324036,3,337,0.6701186299324036
0,8,337,3,182,1.0356359481811523,3,182,1.0356359481811523,5,181,1.0544710159301758
0,9,182,3,186,1.046142339706421,1,187,1.0546298027038574,3,186,1.046142339706421
0,10,186,3,347,0.6662042140960693,3,347,0.6662042140960693
0,11,347,3,403,1.0453826189041138,1,402,1.0833200216293335,3,403,1.0453826189041138
0,12,403,3,243,1.0628690719604492,3,243,1.0628690719604492,6,242,1.0646218061447144
0,13,243,4,211,1.0145983695983887,2,212,1.0977399349212646,4,211,1.0145983695983887
0,14,211,4,136,1.0809252262115479,4,136,1.0809252262115479,6,135,1.0099906921386719
0,15,136,3,9,0.6639158129692078,3,9,0.6639158129692078
1,0,0,2,330,1.0307589769363403,2,330,1.0307589769363403,4,331,0.9748026132583618
1,1,330,2,338,0.6814029812812805,2,338,0.6814029812812805
1,2,338,3,154,1.039489507675171,1,153,1.0689165592193604,3,154,1.039489507675171
1,3,154,3,174,1.0520658493041992,1,173,1.065351128578186,3,174,1.0520658493041992
1,4,174,3,364,1.0383002758026123,3,364,1.0383002758026123,5,365,1.0890097618103027
1,5,364,3,178,0.668429970741272,3,178,0.668429970741272
1,6,178,3,180,1.0477259159088135,1,179,1.0558252334594727,3,180,1.0477259159088135
1,7,180,3,337,0.6701186299324036,3,337,0.6701186299324036
1,8,337,3,182,1.0356359481811523,3,182,1.0356359481811523,5,181,1.0544710159301758
1,9,182,3,186,1.046142339706421,1,187,1.0546298027038574,3,186,1.046142339706421
1,10,186,3,347,0.6662042140960693,3,347,0.6662042140960693
1,11,347,3,403,1.0453826189041138,1,402,1.0833200216293335,3,403,1.0453826189041138
1,12,403,3,243,1.0628690719604492,3,243,1.0628690719604492,6,242,1.0646218061447144
1,13,243,4,211,1.0145983695983887,2,212,1.0977399349212646,4,211,1.0145983695983887
1,14,211,4,136,1.0809252262115479,4,136,1.0809252262115479,6,135,1.0099906921386719
1,15,136,3,9,0.6639158129692078,3,9,0.6639158129692078
