Test Trajectory,Learner Trajectory,Test Actions,Learner Actions,Test Rewards,Learner Rewards,Test Return,Learner Return
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,1.0307589769363403_0.6814029812812805_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,1.0307589769363403_0.6814029812812805_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,14.843965709209442,14.843965709209442
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,1.0307589769363403_0.6814029812812805_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,1.0307589769363403_0.6814029812812805_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,14.843965709209442,14.843965709209442
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,1.0307589769363403_0.6814029812812805_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,1.0307589769363403_0.6814029812812805_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,14.843965709209442,14.843965709209442
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,1.0307589769363403_0.6814029812812805_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,1.0307589769363403_0.6814029812812805_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,14.843965709209442,14.843965709209442
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,1.0307589769363403_0.6814029812812805_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,1.0307589769363403_0.6814029812812805_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,14.843965709209442,14.843965709209442
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6353161931037903_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,0.6353161931037903_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,13.767119944095612,13.767119944095612
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6353161931037903_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,0.6353161931037903_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,13.767119944095612,13.767119944095612
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6353161931037903_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,0.6353161931037903_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,13.767119944095612,13.767119944095612
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6353161931037903_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,0.6353161931037903_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,13.767119944095612,13.767119944095612
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6353161931037903_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,0.6353161931037903_1.039489507675171_1.0520658493041992_1.0383002758026123_0.668429970741272_1.0477259159088135_0.6701186299324036_1.0356359481811523_1.046142339706421_0.6662042140960693_1.0453826189041138_1.0628690719604492_1.0145983695983887_1.0809252262115479_0.6639158129692078,13.767119944095612,13.767119944095612
